frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
24,10.0.0.134,10.0.0.135,22,11,54,6,False,True,False,40,0,,,,,1722049710.904657389
25,10.0.0.135,10.0.0.134,12,22,60,6,False,False,False,40,512,,,,,1722049711.905781838
26,10.0.0.134,10.0.0.135,22,12,54,6,False,True,False,40,0,,,,,1722049711.906121388
27,10.0.0.135,10.0.0.134,13,22,60,6,False,False,False,40,512,,,,,1722049712.906287144
28,10.0.0.134,10.0.0.135,22,13,54,6,False,True,False,40,0,,,,,1722049712.906371095
29,10.0.0.135,10.0.0.134,14,22,60,6,False,False,False,40,512,,,,,1722049713.906673488
30,10.0.0.134,10.0.0.135,22,14,54,6,False,True,False,40,0,,,,,1722049713.906709447
31,10.0.0.135,10.0.0.134,15,22,60,6,False,False,False,40,512,,,,,1722049714.907345116
32,10.0.0.134,10.0.0.135,22,15,54,6,False,True,False,40,0,,,,,1722049714.907385898
33,10.0.0.135,10.0.0.134,16,22,60,6,False,False,False,40,512,,,,,1722049715.907805319
34,10.0.0.134,10.0.0.135,22,16,54,6,False,True,False,40,0,,,,,1722049715.907903495
35,10.0.0.135,10.0.0.134,17,22,60,6,False,False,False,40,512,,,,,1722049716.908388846
36,10.0.0.134,10.0.0.135,22,17,54,6,False,True,False,40,0,,,,,1722049716.908428287
37,10.0.0.135,10.0.0.134,18,22,60,6,False,False,False,40,512,,,,,1722049717.909448333
38,10.0.0.134,10.0.0.135,22,18,54,6,False,True,False,40,0,,,,,1722049717.909500107
39,10.0.0.135,10.0.0.134,19,22,60,6,False,False,False,40,512,,,,,1722049718.910180178
40,10.0.0.134,10.0.0.135,22,19,54,6,False,True,False,40,0,,,,,1722049718.910223089
41,10.0.0.135,10.0.0.134,20,22,60,6,False,False,False,40,512,,,,,1722049719.911450188
42,10.0.0.134,10.0.0.135,22,20,54,6,False,True,False,40,0,,,,,1722049719.911497058
43,10.0.0.135,10.0.0.134,21,22,60,6,False,False,False,40,512,,,,,1722049720.912000314
44,10.0.0.134,10.0.0.135,22,21,54,6,False,True,False,40,0,,,,,1722049720.912039259
45,10.0.0.135,10.0.0.134,22,22,60,6,False,False,False,40,512,,,,,1722049721.912680122
46,10.0.0.134,10.0.0.135,22,22,54,6,False,True,False,40,0,,,,,1722049721.912718162
47,10.0.0.135,10.0.0.134,23,22,60,6,False,False,False,40,512,,,,,1722049722.914409247
48,10.0.0.134,10.0.0.135,22,23,54,6,False,True,False,40,0,,,,,1722049722.914476833
49,10.0.0.135,10.0.0.134,24,22,60,6,False,False,False,40,512,,,,,1722049723.943806671
50,10.0.0.134,10.0.0.135,22,24,54,6,False,True,False,40,0,,,,,1722049723.943836358
51,10.0.0.135,10.0.0.134,25,22,60,6,False,False,False,40,512,,,,,1722049724.944410367
52,10.0.0.134,10.0.0.135,22,25,54,6,False,True,False,40,0,,,,,1722049724.944450469
53,10.0.0.135,10.0.0.134,26,22,60,6,False,False,False,40,512,,,,,1722049725.946237941
54,10.0.0.134,10.0.0.135,22,26,54,6,False,True,False,40,0,,,,,1722049725.946278867
55,10.0.0.135,10.0.0.134,27,22,60,6,False,False,False,40,512,,,,,1722049726.948981545
56,10.0.0.134,10.0.0.135,22,27,54,6,False,True,False,40,0,,,,,1722049726.949021605
57,10.0.0.135,10.0.0.134,28,22,60,6,False,False,False,40,512,,,,,1722049727.950461347
58,10.0.0.134,10.0.0.135,22,28,54,6,False,True,False,40,0,,,,,1722049727.950502544
59,10.0.0.135,10.0.0.134,29,22,60,6,False,False,False,40,512,,,,,1722049728.951883763
60,10.0.0.134,10.0.0.135,22,29,54,6,False,True,False,40,0,,,,,1722049728.951924654
61,10.0.0.135,10.0.0.134,30,22,60,6,False,False,False,40,512,,,,,1722049729.953075624
62,10.0.0.134,10.0.0.135,22,30,54,6,False,True,False,40,0,,,,,1722049729.953162479
63,10.0.0.135,10.0.0.134,31,22,60,6,False,False,False,40,512,,,,,1722049730.953539803
64,10.0.0.134,10.0.0.135,22,31,54,6,False,True,False,40,0,,,,,1722049730.953577797
65,10.0.0.135,10.0.0.134,32,22,60,6,False,False,False,40,512,,,,,1722049731.954434914
66,10.0.0.134,10.0.0.135,22,32,54,6,False,True,False,40,0,,,,,1722049731.954473176
67,10.0.0.135,10.0.0.134,33,22,60,6,False,False,False,40,512,,,,,1722049732.955307199
68,10.0.0.134,10.0.0.135,22,33,54,6,False,True,False,40,0,,,,,1722049732.955347777
69,10.0.0.135,10.0.0.134,34,22,60,6,False,False,False,40,512,,,,,1722049733.956942095
70,10.0.0.134,10.0.0.135,22,34,54,6,False,True,False,40,0,,,,,1722049733.956978316
71,10.0.0.135,10.0.0.134,35,22,60,6,False,False,False,40,512,,,,,1722049734.957739303
72,10.0.0.134,10.0.0.135,22,35,54,6,False,True,False,40,0,,,,,1722049734.957779607
73,10.0.0.135,10.0.0.134,36,22,60,6,False,False,False,40,512,,,,,1722049735.958679240
74,10.0.0.134,10.0.0.135,22,36,54,6,False,True,False,40,0,,,,,1722049735.958744684
75,10.0.0.135,10.0.0.134,37,22,60,6,False,False,False,40,512,,,,,1722049736.961390029
76,10.0.0.134,10.0.0.135,22,37,54,6,False,True,False,40,0,,,,,1722049736.961430253
77,10.0.0.135,10.0.0.134,38,22,60,6,False,False,False,40,512,,,,,1722049737.963076122
78,10.0.0.134,10.0.0.135,22,38,54,6,False,True,False,40,0,,,,,1722049737.963123997
79,10.0.0.135,10.0.0.134,39,22,60,6,False,False,False,40,512,,,,,1722049738.963836807
80,10.0.0.134,10.0.0.135,22,39,54,6,False,True,False,40,0,,,,,1722049738.963891242
81,10.0.0.135,10.0.0.134,40,22,60,6,False,False,False,40,512,,,,,1722049739.964729531
82,10.0.0.134,10.0.0.135,22,40,54,6,False,True,False,40,0,,,,,1722049739.964800852
83,10.0.0.135,10.0.0.134,41,22,60,6,False,False,False,40,512,,,,,1722049740.967427990
84,10.0.0.134,10.0.0.135,22,41,54,6,False,True,False,40,0,,,,,1722049740.967754242
85,10.0.0.135,10.0.0.134,42,22,60,6,False,False,False,40,512,,,,,1722049741.967689172
86,10.0.0.134,10.0.0.135,22,42,54,6,False,True,False,40,0,,,,,1722049741.967726364
87,10.0.0.135,10.0.0.134,43,22,60,6,False,False,False,40,512,,,,,1722049742.969174597
88,10.0.0.134,10.0.0.135,22,43,54,6,False,True,False,40,0,,,,,1722049742.969231793
89,10.0.0.135,10.0.0.134,44,22,60,6,False,False,False,40,512,,,,,1722049743.969983784
90,10.0.0.134,10.0.0.135,22,44,54,6,False,True,False,40,0,,,,,1722049743.970021386
91,10.0.0.135,10.0.0.134,45,22,60,6,False,False,False,40,512,,,,,1722049744.971198464
92,10.0.0.134,10.0.0.135,22,45,54,6,False,True,False,40,0,,,,,1722049744.971241430
93,10.0.0.135,10.0.0.134,46,22,60,6,False,False,False,40,512,,,,,1722049745.971871313
94,10.0.0.134,10.0.0.135,22,46,54,6,False,True,False,40,0,,,,,1722049745.971912028
95,10.0.0.135,10.0.0.134,47,22,60,6,False,False,False,40,512,,,,,1722049746.972840690
96,10.0.0.134,10.0.0.135,22,47,54,6,False,True,False,40,0,,,,,1722049746.972893302
97,10.0.0.135,10.0.0.134,48,22,60,6,False,False,False,40,512,,,,,1722049747.973920614
98,10.0.0.134,10.0.0.135,22,48,54,6,False,True,False,40,0,,,,,1722049747.973974719
99,10.0.0.135,10.0.0.134,49,22,60,6,False,False,False,40,512,,,,,1722049748.974785732
100,10.0.0.134,10.0.0.135,22,49,54,6,False,True,False,40,0,,,,,1722049748.974826833
101,10.0.0.135,10.0.0.134,50,22,60,6,False,False,False,40,512,,,,,1722049749.976110596
102,10.0.0.134,10.0.0.135,22,50,54,6,False,True,False,40,0,,,,,1722049749.976151978
103,10.0.0.135,10.0.0.134,51,22,60,6,False,False,False,40,512,,,,,1722049750.977175778
104,10.0.0.134,10.0.0.135,22,51,54,6,False,True,False,40,0,,,,,1722049750.977296660
105,10.0.0.135,10.0.0.134,52,22,60,6,False,False,False,40,512,,,,,1722049751.977541489
106,10.0.0.134,10.0.0.135,22,52,54,6,False,True,False,40,0,,,,,1722049751.977581254
107,10.0.0.135,10.0.0.134,53,22,60,6,False,False,False,40,512,,,,,1722049752.977965616
108,10.0.0.134,10.0.0.135,22,53,54,6,False,True,False,40,0,,,,,1722049752.978005064
109,10.0.0.135,10.0.0.134,54,22,60,6,False,False,False,40,512,,,,,1722049753.979503360
110,10.0.0.134,10.0.0.135,22,54,54,6,False,True,False,40,0,,,,,1722049753.979572326
111,10.0.0.135,10.0.0.134,55,22,60,6,False,False,False,40,512,,,,,1722049754.979777353
112,10.0.0.134,10.0.0.135,22,55,54,6,False,True,False,40,0,,,,,1722049754.979839247
113,10.0.0.135,10.0.0.134,56,22,60,6,False,False,False,40,512,,,,,1722049755.980724394
114,10.0.0.134,10.0.0.135,22,56,54,6,False,True,False,40,0,,,,,1722049755.980764428
115,10.0.0.135,10.0.0.134,57,22,60,6,False,False,False,40,512,,,,,1722049756.981250474
116,10.0.0.134,10.0.0.135,22,57,54,6,False,True,False,40,0,,,,,1722049756.981283479
117,10.0.0.135,10.0.0.134,58,22,60,6,False,False,False,40,512,,,,,1722049757.982299544
118,10.0.0.134,10.0.0.135,22,58,54,6,False,True,False,40,0,,,,,1722049757.982340787
119,10.0.0.135,10.0.0.134,59,22,60,6,False,False,False,40,512,,,,,1722049758.983572169
120,10.0.0.134,10.0.0.135,22,59,54,6,False,True,False,40,0,,,,,1722049758.983640616
121,10.0.0.135,10.0.0.134,60,22,60,6,False,False,False,40,512,,,,,1722049759.984226937
122,10.0.0.134,10.0.0.135,22,60,54,6,False,True,False,40,0,,,,,1722049759.984266538
123,10.0.0.135,10.0.0.134,61,22,60,6,False,False,False,40,512,,,,,1722049760.985304611
124,10.0.0.134,10.0.0.135,22,61,54,6,False,True,False,40,0,,,,,1722049760.985356459
125,10.0.0.135,10.0.0.134,62,22,60,6,False,False,False,40,512,,,,,1722049761.986105785
126,10.0.0.134,10.0.0.135,22,62,54,6,False,True,False,40,0,,,,,1722049761.986178685
127,10.0.0.135,10.0.0.134,63,22,60,6,False,False,False,40,512,,,,,1722049762.986468256
128,10.0.0.134,10.0.0.135,22,63,54,6,False,True,False,40,0,,,,,1722049762.986515661
129,10.0.0.135,10.0.0.134,64,22,60,6,False,False,False,40,512,,,,,1722049763.986951372
130,10.0.0.134,10.0.0.135,22,64,54,6,False,True,False,40,0,,,,,1722049763.987025781
131,10.0.0.135,10.0.0.134,65,22,60,6,False,False,False,40,512,,,,,1722049764.987636019
132,10.0.0.134,10.0.0.135,22,65,54,6,False,True,False,40,0,,,,,1722049764.987684244
133,10.0.0.135,10.0.0.134,66,22,60,6,False,False,False,40,512,,,,,1722049765.989345394
134,10.0.0.134,10.0.0.135,22,66,54,6,False,True,False,40,0,,,,,1722049765.989390047
135,10.0.0.135,10.0.0.134,67,22,60,6,False,False,False,40,512,,,,,1722049766.989834820
136,10.0.0.134,10.0.0.135,22,67,54,6,False,True,False,40,0,,,,,1722049766.989873712
137,10.0.0.135,10.0.0.134,68,22,60,6,False,False,False,40,512,,,,,1722049767.990882746
138,10.0.0.134,10.0.0.135,22,68,54,6,False,True,False,40,0,,,,,1722049767.990925880
139,10.0.0.135,10.0.0.134,69,22,60,6,False,False,False,40,512,,,,,1722049769.005970403
140,10.0.0.134,10.0.0.135,22,69,54,6,False,True,False,40,0,,,,,1722049769.006012393
141,10.0.0.135,10.0.0.134,70,22,60,6,False,False,False,40,512,,,,,1722049770.006525054
142,10.0.0.134,10.0.0.135,22,70,54,6,False,True,False,40,0,,,,,1722049770.006564067
143,10.0.0.135,10.0.0.134,71,22,60,6,False,False,False,40,512,,,,,1722049771.007784750
144,10.0.0.134,10.0.0.135,22,71,54,6,False,True,False,40,0,,,,,1722049771.007868083
145,10.0.0.135,10.0.0.134,72,22,60,6,False,False,False,40,512,,,,,1722049772.008813730
146,10.0.0.134,10.0.0.135,22,72,54,6,False,True,False,40,0,,,,,1722049772.008853284
147,10.0.0.135,10.0.0.134,73,22,60,6,False,False,False,40,512,,,,,1722049773.017113601
148,10.0.0.134,10.0.0.135,22,73,54,6,False,True,False,40,0,,,,,1722049773.017151549
149,10.0.0.135,10.0.0.134,74,22,60,6,False,False,False,40,512,,,,,1722049774.018476340
150,10.0.0.134,10.0.0.135,22,74,54,6,False,True,False,40,0,,,,,1722049774.018555309
151,10.0.0.135,10.0.0.134,75,22,60,6,False,False,False,40,512,,,,,1722049775.019957214
152,10.0.0.134,10.0.0.135,22,75,54,6,False,True,False,40,0,,,,,1722049775.020003211
153,10.0.0.135,10.0.0.134,76,22,60,6,False,False,False,40,512,,,,,1722049776.021566348
154,10.0.0.134,10.0.0.135,22,76,54,6,False,True,False,40,0,,,,,1722049776.021606801
155,10.0.0.135,10.0.0.134,77,22,60,6,False,False,False,40,512,,,,,1722049777.022786947
156,10.0.0.134,10.0.0.135,22,77,54,6,False,True,False,40,0,,,,,1722049777.022825462
157,10.0.0.135,10.0.0.134,78,22,60,6,False,False,False,40,512,,,,,1722049778.024231621
158,10.0.0.134,10.0.0.135,22,78,54,6,False,True,False,40,0,,,,,1722049778.024273472
159,10.0.0.135,10.0.0.134,79,22,60,6,False,False,False,40,512,,,,,1722049779.029449072
160,10.0.0.134,10.0.0.135,22,79,54,6,False,True,False,40,0,,,,,1722049779.029492359
161,10.0.0.135,10.0.0.134,80,22,60,6,False,False,False,40,512,,,,,1722049780.027906749
162,10.0.0.134,10.0.0.135,22,80,54,6,False,True,False,40,0,,,,,1722049780.027954926
163,10.0.0.135,10.0.0.134,81,22,60,6,False,False,False,40,512,,,,,1722049781.029593741
164,10.0.0.134,10.0.0.135,22,81,54,6,False,True,False,40,0,,,,,1722049781.029647020
165,10.0.0.135,10.0.0.134,82,22,60,6,False,False,False,40,512,,,,,1722049782.031199374
166,10.0.0.134,10.0.0.135,22,82,54,6,False,True,False,40,0,,,,,1722049782.031282000
167,10.0.0.135,10.0.0.134,83,22,60,6,False,False,False,40,512,,,,,1722049783.032945841
168,10.0.0.134,10.0.0.135,22,83,54,6,False,True,False,40,0,,,,,1722049783.032990536
169,10.0.0.135,10.0.0.134,84,22,60,6,False,False,False,40,512,,,,,1722049784.033683443
170,10.0.0.134,10.0.0.135,22,84,54,6,False,True,False,40,0,,,,,1722049784.033736329
171,10.0.0.135,10.0.0.134,85,22,60,6,False,False,False,40,512,,,,,1722049785.035360840
172,10.0.0.134,10.0.0.135,22,85,54,6,False,True,False,40,0,,,,,1722049785.035407947
173,10.0.0.135,10.0.0.134,86,22,60,6,False,False,False,40,512,,,,,1722049786.037040197
174,10.0.0.134,10.0.0.135,22,86,54,6,False,True,False,40,0,,,,,1722049786.037083089
175,10.0.0.135,10.0.0.134,87,22,60,6,False,False,False,40,512,,,,,1722049787.038797884
176,10.0.0.134,10.0.0.135,22,87,54,6,False,True,False,40,0,,,,,1722049787.038836880
177,10.0.0.135,10.0.0.134,88,22,60,6,False,False,False,40,512,,,,,1722049788.039837803
178,10.0.0.134,10.0.0.135,22,88,54,6,False,True,False,40,0,,,,,1722049788.039969479
179,10.0.0.135,10.0.0.134,89,22,60,6,False,False,False,40,512,,,,,1722049789.048473990
180,10.0.0.134,10.0.0.135,22,89,54,6,False,True,False,40,0,,,,,1722049789.048506760
181,10.0.0.135,10.0.0.134,90,22,60,6,False,False,False,40,512,,,,,1722049790.050113824
182,10.0.0.134,10.0.0.135,22,90,54,6,False,True,False,40,0,,,,,1722049790.050153778
183,10.0.0.134,10.0.0.2,,,89,17,,,,75,,,,,,1722049790.171919211
184,10.0.0.2,10.0.0.134,,,425,17,,,,411,,,,,,1722049790.179486012
185,10.0.0.135,10.0.0.134,91,22,60,6,False,False,False,40,512,,,,,1722049791.051581041
186,10.0.0.134,10.0.0.135,22,91,54,6,False,True,False,40,0,,,,,1722049791.051621622
187,10.0.0.135,10.0.0.134,92,22,60,6,False,False,False,40,512,,,,,1722049792.052702563
188,10.0.0.134,10.0.0.135,22,92,54,6,False,True,False,40,0,,,,,1722049792.052737083
189,10.0.0.135,10.0.0.134,93,22,60,6,False,False,False,40,512,,,,,1722049793.054476393
190,10.0.0.134,10.0.0.135,22,93,54,6,False,True,False,40,0,,,,,1722049793.054521340
191,10.0.0.135,10.0.0.134,94,22,60,6,False,False,False,40,512,,,,,1722049794.056334302
192,10.0.0.134,10.0.0.135,22,94,54,6,False,True,False,40,0,,,,,1722049794.056376096
193,10.0.0.135,10.0.0.134,95,22,60,6,False,False,False,40,512,,,,,1722049795.057091626
194,10.0.0.134,10.0.0.135,22,95,54,6,False,True,False,40,0,,,,,1722049795.057132415
195,10.0.0.135,10.0.0.134,96,22,60,6,False,False,False,40,512,,,,,1722049796.058408895
196,10.0.0.134,10.0.0.135,22,96,54,6,False,True,False,40,0,,,,,1722049796.058478471
197,10.0.0.135,10.0.0.134,97,22,60,6,False,False,False,40,512,,,,,1722049797.060855165
198,10.0.0.134,10.0.0.135,22,97,54,6,False,True,False,40,0,,,,,1722049797.060899144
199,10.0.0.135,10.0.0.134,98,22,60,6,False,False,False,40,512,,,,,1722049798.061363497
200,10.0.0.134,10.0.0.135,22,98,54,6,False,True,False,40,0,,,,,1722049798.061404888
201,10.0.0.135,10.0.0.134,99,22,60,6,False,False,False,40,512,,,,,1722049799.063383873
202,10.0.0.134,10.0.0.135,22,99,54,6,False,True,False,40,0,,,,,1722049799.063443128
203,10.0.0.135,10.0.0.134,100,22,60,6,False,False,False,40,512,,,,,1722049800.065306483
204,10.0.0.134,10.0.0.135,22,100,54,6,False,True,False,40,0,,,,,1722049800.065374447
205,10.0.0.135,10.0.0.134,101,22,60,6,False,False,False,40,512,,,,,1722049801.066177604
206,10.0.0.134,10.0.0.135,22,101,54,6,False,True,False,40,0,,,,,1722049801.066216812
207,10.0.0.135,10.0.0.134,102,22,60,6,False,False,False,40,512,,,,,1722049802.067345470
208,10.0.0.134,10.0.0.135,22,102,54,6,False,True,False,40,0,,,,,1722049802.067382062
209,10.0.0.135,10.0.0.134,103,22,60,6,False,False,False,40,512,,,,,1722049803.068020912
210,10.0.0.134,10.0.0.135,22,103,54,6,False,True,False,40,0,,,,,1722049803.068060471
211,10.0.0.135,10.0.0.134,104,22,60,6,False,False,False,40,512,,,,,1722049804.069471300
212,10.0.0.134,10.0.0.135,22,104,54,6,False,True,False,40,0,,,,,1722049804.069529854
213,10.0.0.135,10.0.0.134,105,22,60,6,False,False,False,40,512,,,,,1722049805.071287092
214,10.0.0.134,10.0.0.135,22,105,54,6,False,True,False,40,0,,,,,1722049805.071329841
215,10.0.0.135,10.0.0.134,106,22,60,6,False,False,False,40,512,,,,,1722049806.073013115
216,10.0.0.134,10.0.0.135,22,106,54,6,False,True,False,40,0,,,,,1722049806.073057916
217,10.0.0.135,10.0.0.134,107,22,60,6,False,False,False,40,512,,,,,1722049807.074838766
218,10.0.0.134,10.0.0.135,22,107,54,6,False,True,False,40,0,,,,,1722049807.074878760
219,10.0.0.135,10.0.0.134,108,22,60,6,False,False,False,40,512,,,,,1722049808.075524892
220,10.0.0.134,10.0.0.135,22,108,54,6,False,True,False,40,0,,,,,1722049808.075566882
221,10.0.0.135,10.0.0.134,109,22,60,6,False,False,False,40,512,,,,,1722049809.076967043
222,10.0.0.134,10.0.0.135,22,109,54,6,False,True,False,40,0,,,,,1722049809.077028404
223,10.0.0.135,10.0.0.134,110,22,60,6,False,False,False,40,512,,,,,1722049810.079097615
224,10.0.0.134,10.0.0.135,22,110,54,6,False,True,False,40,0,,,,,1722049810.079173132
225,10.0.0.135,10.0.0.134,111,22,60,6,False,False,False,40,512,,,,,1722049811.099949265
226,10.0.0.134,10.0.0.135,22,111,54,6,False,True,False,40,0,,,,,1722049811.099989928
227,10.0.0.135,10.0.0.134,112,22,60,6,False,False,False,40,512,,,,,1722049812.101470130
228,10.0.0.134,10.0.0.135,22,112,54,6,False,True,False,40,0,,,,,1722049812.101512181
229,10.0.0.135,10.0.0.134,113,22,60,6,False,False,False,40,512,,,,,1722049813.102895951
230,10.0.0.134,10.0.0.135,22,113,54,6,False,True,False,40,0,,,,,1722049813.102940778
231,10.0.0.135,10.0.0.134,114,22,60,6,False,False,False,40,512,,,,,1722049814.104281608
232,10.0.0.134,10.0.0.135,22,114,54,6,False,True,False,40,0,,,,,1722049814.104321140
233,10.0.0.135,10.0.0.134,115,22,60,6,False,False,False,40,512,,,,,1722049815.106150289
234,10.0.0.134,10.0.0.135,22,115,54,6,False,True,False,40,0,,,,,1722049815.106200823
235,10.0.0.135,10.0.0.134,116,22,60,6,False,False,False,40,512,,,,,1722049816.107969104
236,10.0.0.134,10.0.0.135,22,116,54,6,False,True,False,40,0,,,,,1722049816.108007995
237,10.0.0.135,10.0.0.134,117,22,60,6,False,False,False,40,512,,,,,1722049817.109589248
238,10.0.0.134,10.0.0.135,22,117,54,6,False,True,False,40,0,,,,,1722049817.109641692
239,10.0.0.135,10.0.0.134,118,22,60,6,False,False,False,40,512,,,,,1722049818.111639525
240,10.0.0.134,10.0.0.135,22,118,54,6,False,True,False,40,0,,,,,1722049818.111681652
241,10.0.0.135,10.0.0.134,119,22,60,6,False,False,False,40,512,,,,,1722049819.112904143
242,10.0.0.134,10.0.0.135,22,119,54,6,False,True,False,40,0,,,,,1722049819.112990936
243,10.0.0.135,10.0.0.134,120,22,60,6,False,False,False,40,512,,,,,1722049820.114500308
244,10.0.0.134,10.0.0.135,22,120,54,6,False,True,False,40,0,,,,,1722049820.114544483
245,10.0.0.135,10.0.0.134,121,22,60,6,False,False,False,40,512,,,,,1722049821.116445560
246,10.0.0.134,10.0.0.135,22,121,54,6,False,True,False,40,0,,,,,1722049821.116498207
247,10.0.0.135,10.0.0.134,122,22,60,6,False,False,False,40,512,,,,,1722049822.117974978
248,10.0.0.134,10.0.0.135,22,122,54,6,False,True,False,40,0,,,,,1722049822.118019083
249,10.0.0.135,10.0.0.134,123,22,60,6,False,False,False,40,512,,,,,1722049823.119609255
250,10.0.0.134,10.0.0.135,22,123,54,6,False,True,False,40,0,,,,,1722049823.119650141
251,10.0.0.135,10.0.0.134,124,22,60,6,False,False,False,40,512,,,,,1722049824.120983022
252,10.0.0.134,10.0.0.135,22,124,54,6,False,True,False,40,0,,,,,1722049824.121018235
253,10.0.0.135,10.0.0.134,125,22,60,6,False,False,False,40,512,,,,,1722049825.121620351
254,10.0.0.134,10.0.0.135,22,125,54,6,False,True,False,40,0,,,,,1722049825.121665356
255,10.0.0.135,10.0.0.134,126,22,60,6,False,False,False,40,512,,,,,1722049826.123250217
256,10.0.0.134,10.0.0.135,22,126,54,6,False,True,False,40,0,,,,,1722049826.123290517
257,10.0.0.135,10.0.0.134,127,22,60,6,False,False,False,40,512,,,,,1722049827.124376014
258,10.0.0.134,10.0.0.135,22,127,54,6,False,True,False,40,0,,,,,1722049827.124415505
259,10.0.0.134,224.0.0.251,,,105,17,,,,91,,,,,,1722049827.167715284
260,10.0.0.135,10.0.0.134,128,22,60,6,False,False,False,40,512,,,,,1722049828.124851451
261,10.0.0.134,10.0.0.135,22,128,54,6,False,True,False,40,0,,,,,1722049828.124898824
262,10.0.0.135,10.0.0.134,129,22,60,6,False,False,False,40,512,,,,,1722049829.126421362
263,10.0.0.134,10.0.0.135,22,129,54,6,False,True,False,40,0,,,,,1722049829.126454705
264,10.0.0.135,10.0.0.134,130,22,60,6,False,False,False,40,512,,,,,1722049830.126768973
265,10.0.0.134,10.0.0.135,22,130,54,6,False,True,False,40,0,,,,,1722049830.126816684
266,10.0.0.135,10.0.0.134,131,22,60,6,False,False,False,40,512,,,,,1722049831.128641201
267,10.0.0.134,10.0.0.135,22,131,54,6,False,True,False,40,0,,,,,1722049831.128685626
268,10.0.0.135,10.0.0.134,132,22,60,6,False,False,False,40,512,,,,,1722049832.129876817
269,10.0.0.134,10.0.0.135,22,132,54,6,False,True,False,40,0,,,,,1722049832.129915900
270,10.0.0.135,10.0.0.134,133,22,60,6,False,False,False,40,512,,,,,1722049833.131766493
271,10.0.0.134,10.0.0.135,22,133,54,6,False,True,False,40,0,,,,,1722049833.131807840
272,10.0.0.135,10.0.0.134,134,22,60,6,False,False,False,40,512,,,,,1722049834.133701269
273,10.0.0.134,10.0.0.135,22,134,54,6,False,True,False,40,0,,,,,1722049834.133756425
274,10.0.0.135,10.0.0.134,135,22,60,6,False,False,False,40,512,,,,,1722049835.135566774
275,10.0.0.134,10.0.0.135,22,135,54,6,False,True,False,40,0,,,,,1722049835.135611705
276,10.0.0.135,10.0.0.134,136,22,60,6,False,False,False,40,512,,,,,1722049836.137171258
277,10.0.0.134,10.0.0.135,22,136,54,6,False,True,False,40,0,,,,,1722049836.137257598
278,10.0.0.135,10.0.0.134,137,22,60,6,False,False,False,40,512,,,,,1722049837.139101708
279,10.0.0.134,10.0.0.135,22,137,54,6,False,True,False,40,0,,,,,1722049837.139189665
